date,1. open,2. high,3. low,4. close,5. volume,symbol
2025-04-07,177.2000,194.1500,174.6200,181.4600,160466286,AAPL
2025-04-04,193.8900,199.8800,187.3400,188.3800,125910913,AAPL
2025-04-03,205.5400,207.4900,201.2500,203.1900,103419006,AAPL
2025-04-02,221.3150,225.1900,221.0200,223.8900,35905904,AAPL
2025-04-01,219.8050,223.6800,218.9000,223.1900,36412740,AAPL
2025-03-31,217.0050,225.6200,216.2300,222.1300,65299321,AAPL
2025-03-28,221.6700,223.8100,217.6800,217.9000,39818617,AAPL
2025-03-27,221.3900,224.9900,220.5601,223.8500,37094774,AAPL
2025-03-26,223.5100,225.0200,220.4700,221.5300,34532656,AAPL
2025-03-25,220.7700,224.1000,220.0800,223.7500,34493583,AAPL
2025-03-24,221.0000,221.4800,218.5800,220.7300,44299483,AAPL
2025-03-21,211.5600,218.8400,211.2800,218.2700,94127768,AAPL
2025-03-20,213.9900,217.4899,212.2200,214.1000,48862947,AAPL
2025-03-19,214.2200,218.7600,213.7500,215.2400,54385391,AAPL
2025-03-18,214.1600,215.1500,211.4900,212.6900,42432426,AAPL
2025-03-17,213.3100,215.2200,209.9700,214.0000,48073426,AAPL
2025-03-14,211.2500,213.9500,209.5800,213.4900,60107582,AAPL
2025-03-13,215.9500,216.8394,208.4200,209.6800,61368330,AAPL
2025-03-12,220.1400,221.7500,214.9100,216.9800,62547467,AAPL
2025-03-11,223.8050,225.8399,217.4500,220.8400,76137410,AAPL
2025-03-10,235.5400,236.1600,224.2200,227.4800,71451281,AAPL
2025-03-07,235.1050,241.3700,234.7600,239.0700,46273565,AAPL
2025-03-06,234.4350,237.8600,233.1581,235.3300,45170419,AAPL
2025-03-05,235.4200,236.5500,229.2300,235.7400,47227643,AAPL
2025-03-04,237.7050,240.0700,234.6800,235.9300,53798062,AAPL
2025-03-03,241.7900,244.0272,236.1120,238.0300,47183985,AAPL
2025-02-28,236.9500,242.0900,230.2000,241.8400,56833360,AAPL
2025-02-27,239.4100,242.4600,237.0600,237.3000,41153639,AAPL
2025-02-26,244.3300,244.9800,239.1300,240.3600,44433564,AAPL
2025-02-25,248.0000,250.0000,244.9100,247.0400,48013272,AAPL
